"Current Owner",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"IQM FINLAND OY",,,,,,1,,1,2,14,31,36,42,18,10
"ERICSSON AB",,,,,,,1,,4,6,5,7,10,1,1
"MICROSOFT CORP",,,,,,,2,3,3,6,4,3,2,3,
"NOKIA CORP",,,,3,3,,,,2,1,1,2,3,2,
"TEKNOLOGIAN TUTKIMUSKESKUS VTT",,,,,,,,,1,2,5,5,1,3,1
"KOBENHAVNS UNIVERSITET",,,,,,,1,,,2,,3,1,2,
"VTT TECHNICAL RESEARCH CENTRE OF FINLAND LTD",,,,,,,,,,,3,5,,1,
"IQM FINLAND",,,,,,,,,,,7,,,,
"ALGORITHMIQ OY",,,,,,,,,,,2,3,3,3,1
"QM TECHNOLOGY APS",,,,,,,,,,,2,4,,,